full_name,israeli_id,role,status,hourly_cost,min_monthly_hours,max_monthly_hours,00:00-08:00,08:00-16:00,16:00-00:00
"Tamar Ohana",100000099,"General Guard",Active,35.73,40,160,1-7,1-7,
"Lior Peretz",100000100,"General Guard",Active,71.05,80,200,,1-7,1-7
"Shira Vaknin",100000101,"General Guard",Active,44.75,80,200,2-7,2-7,2-7
"Tamar Avraham",100000102,"General Guard",Active,68.32,60,220,1-7,1-7,
"Adi Peretz",100000103,"General Guard",Active,44.76,60,200,,1-7,1-7
"Bar Mor",100000104,"General Guard",Active,76.95,60,220,1-7,1-7,1-7
"Ido Friedman",100000105,"General Guard",Active,35.45,40,160,1-7,1-7,
"Tamar Cohen",100000106,"General Guard",Active,78.25,40,200,,1-7,1-7
"Gal Elkayam",100000107,"General Guard",Active,39.97,60,200,1-4|6-7,,1-4|6-7
"Adi Peretz",100000108,"General Guard",Active,69.16,40,200,1-7,1-7,
"Noa Levi",100000109,"General Guard",Active,39.75,40,180,1-7,1-7,1-7
"Dor Vaknin",100000110,"General Guard",Active,83.68,60,180,1-2|4-7,1-2|4-7,1-2|4-7
"Ido Levi",100000111,"General Guard",Active,44.18,40,200,1-7,1-7,
"Avi Saban",100000112,"General Guard",Active,69.28,60,220,,1-7,1-7
"Tamar Elkayam",100000113,"General Guard",Active,39.08,40,180,1-7,1-7,1-7
"Omer Sharon",100000114,"General Guard",Active,69.27,40,200,1-4|6-7,1-4|6-7,
"Ido Shapiro",100000115,"General Guard",Active,37.97,80,220,1-7,1-7,1-7
"Keren Azoulay",100000116,"General Guard",Active,84.83,40,200,2-7,,2-7
"Chen Shapiro",100000117,"General Guard",Active,39.83,60,200,1-5|7,1-5|7,1-5|7
"Nadav Weiss",100000118,"General Guard",Active,83.01,60,220,1-7,1-7,1-7
"Yael Dahan",100000119,"General Guard",Active,38.01,40,180,1-7,,1-7
"Dana Klein",100000120,"General Guard",Active,72.24,80,240,1-6,1-6,
"Boaz Haddad",100000121,"General Guard",Active,35.13,60,200,,1-4|6-7,1-4|6-7
"Lior Klein",100000122,"General Guard",Active,76.29,40,160,1-5|7,,1-5|7
"Yossi Azoulay",100000123,"General Guard",Active,43.12,80,200,1-6,1-6,
"Adi Mizrahi",100000124,"General Guard",Active,72.31,60,220,,1-7,1-7
"Yael Sharon",100000125,"General Guard",Active,36.13,60,220,1|3-7,,1|3-7
"Omer Weiss",100000126,"General Guard",Active,83.24,60,180,1-5|7,1-5|7,
"Elad Mor",100000127,"General Guard",Active,40.57,80,240,,1-7,1-7
"Maya Peretz",100000128,"General Guard",Active,81.18,40,200,1-7,1-7,1-7
"Yossi Mor",100000129,"General Guard",Active,37.75,60,180,1-2|4-7,1-2|4-7,
"Eitan Haddad",100000130,"General Guard",Active,80.30,80,240,1-4|6-7,1-4|6-7,1-4|6-7
"Lior Vaknin",100000131,"General Guard",Active,35.03,60,220,1-5|7,,1-5|7
"Lior Cohen",100000132,"General Guard",Active,83.32,80,220,1-4|6-7,1-4|6-7,
"Dana Levi",100000133,"General Guard",Active,39.52,80,200,,1-6,1-6
"Boaz Ohana",100000134,"General Guard",Active,76.80,60,220,1|3-7,,1|3-7
"Dor Weiss",100000135,Screener,Active,48.02,80,200,2-7,2-7,2-7
"Gili Saban",100000136,Screener,Active,77.98,80,240,,2-7,2-7
"Lior Haddad",100000137,Screener,Active,45.18,60,180,1-7,,1-7
"Dor Asulin",100000138,Screener,Active,77.11,40,200,1-3|5-7,1-3|5-7,
"Yael Levi",100000139,Screener,Active,47.15,40,160,,1-4|6-7,1-4|6-7
"Adi Elkayam",100000140,Screener,Active,79.65,40,180,1-7,,1-7
"Yael Goldberg",100000141,Screener,Active,46.42,60,200,1-2|4-7,1-2|4-7,
"Gili Peretz",100000142,Screener,Active,86.80,60,180,,2-7,2-7
"Amit Avraham",100000143,Screener,Active,49.20,40,200,1-7,,1-7
"Adi Peretz",100000144,Screener,Active,92.60,80,200,1-7,1-7,
"Shira Katz",100000145,Screener,Active,49.55,80,220,1|3-7,1|3-7,1|3-7
"Dor Haddad",100000146,Screener,Active,81.80,80,240,1-7,,1-7
"Chen Mizrahi",100000147,Supervisor,Active,69.06,40,160,1-7,1-7,
"Boaz Haddad",100000148,Supervisor,Active,115.09,60,180,,1-7,1-7
"Eitan Asulin",100000149,Supervisor,Active,66.23,60,220,1-7,,1-7
"Tal Weiss",100000150,Supervisor,Active,125.38,80,200,1-4|6-7,1-4|6-7,
"Boaz Avraham",100000151,Supervisor,Active,65.02,60,200,,1-7,1-7
"Lior Sharon",100000152,Supervisor,Active,126.31,40,160,1-7,,1-7
