full_name,israeli_id,role,status,hourly_cost,min_monthly_hours,max_monthly_hours,00:00-08:00,08:00-16:00,16:00-00:00
"Shira Cohen",100000000,"General Guard",Active,48.71,128,168,1|4-7,1|4-7,1|4-7
"Boaz Mor",100000001,"General Guard",Active,60.83,128,176,2-4|6-7,2-4|6-7,2-4|6-7
"Yuval Azoulay",100000002,"General Guard",Active,54.11,120,152,1-3|5|7,1-3|5|7,1-3|5|7
"Yossi Golan",100000003,"General Guard",Active,48.81,144,168,1-5|7,1-5|7,1-5|7
"Chen Mor",100000004,"General Guard",Active,62.27,136,184,2-3|5-7,2-3|5-7,2-3|5-7
"Amit Rosen",100000005,"General Guard",Active,53.90,136,160,1-5,1-5,1-5
"Gili Weiss",100000006,"General Guard",Active,47.56,144,176,1-5|7,1-5|7,1-5|7
"Roni Sharon",100000007,"General Guard",Active,43.21,120,160,2|4-7,2|4-7,2|4-7
"Eitan Goldberg",100000008,"General Guard",Active,66.72,128,152,1-6,1-6,1-6
"Tal Dahan",100000009,"General Guard",Active,50.13,144,168,3-7,3-7,3-7
"Omri Asulin",100000010,"General Guard",Active,47.41,136,184,1-4|6-7,1-4|6-7,1-4|6-7
"Chen Weiss",100000011,"General Guard",Active,51.97,136,168,2-7,2-7,2-7
"Chen Saban",100000012,"General Guard",Active,47.44,144,184,1-2|4|6-7,1-2|4|6-7,1-2|4|6-7
"Hila Levi",100000013,"General Guard",Active,60.32,144,184,2-7,2-7,2-7
"Shira Golan",100000014,"General Guard",Active,45.15,144,168,1|4-7,1|4-7,1|4-7
"Yuval Klein",100000015,"General Guard",Active,62.78,136,176,1-3|5|7,1-3|5|7,1-3|5|7
"Shira Mizrahi",100000016,"General Guard",Active,48.86,128,168,1-3|5-7,1-3|5-7,1-3|5-7
"Noa Goldberg",100000017,"General Guard",Active,66.43,136,168,2|4-7,2|4-7,2|4-7
"Eitan Ohana",100000018,"General Guard",Active,56.49,128,152,1-2|4-7,1-2|4-7,1-2|4-7
"Chen Shapiro",100000019,"General Guard",Active,54.49,136,176,1-2|4-5|7,1-2|4-5|7,1-2|4-5|7
"Dor Weiss",100000020,"General Guard",Active,65.44,136,176,1-5|7,1-5|7,1-5|7
"Yael Dahan",100000021,"General Guard",Active,49.03,136,168,1-4|6-7,1-4|6-7,1-4|6-7
"Nadav Cohen",100000022,"General Guard",Active,50.85,144,192,1-2|4-6,1-2|4-6,1-2|4-6
"Keren Mizrahi",100000023,"General Guard",Active,40.38,144,168,1-4|7,1-4|7,1-4|7
"Omer Vaknin",100000024,"General Guard",Active,50.09,120,144,1-2|4-7,1-2|4-7,1-2|4-7
"Avi Katz",100000025,"General Guard",Active,52.93,128,168,2-5|7,2-5|7,2-5|7
"Elad Mizrahi",100000026,"General Guard",Active,41.44,128,168,1-5|7,1-5|7,1-5|7
"Noa Mor",100000027,"General Guard",Active,55.47,144,176,1|3-6,1|3-6,1|3-6
"Maya Saban",100000028,"General Guard",Active,48.92,120,152,3-7,3-7,3-7
"Maya Asulin",100000029,"General Guard",Active,67.71,128,152,1-5|7,1-5|7,1-5|7
"Bar Mizrahi",100000030,Screener,Active,65.50,128,152,1|3-7,1|3-7,1|3-7
"Bar Ohana",100000031,Screener,Active,58.05,136,184,1-4|6-7,1-4|6-7,1-4|6-7
"Yuval Ohana",100000032,Screener,Active,68.39,120,160,1-2|4-7,1-2|4-7,1-2|4-7
"Maya Saban",100000033,Screener,Active,74.03,120,152,1-5|7,1-5|7,1-5|7
"Yael Asulin",100000034,Screener,Active,73.12,136,168,1|4-7,1|4-7,1|4-7
"Noa Levi",100000035,Screener,Active,64.46,136,176,1-5,1-5,1-5
"Lior Asulin",100000036,Screener,Active,66.60,120,160,1-4|6-7,1-4|6-7,1-4|6-7
"Dor Azoulay",100000037,Screener,Active,73.20,128,160,1-3|5-7,1-3|5-7,1-3|5-7
"Tamar Cohen",100000038,Screener,Active,64.42,128,160,1-3|5-7,1-3|5-7,1-3|5-7
"Keren Klein",100000039,Screener,Active,57.36,144,176,2-4|6-7,2-4|6-7,2-4|6-7
"Roni Shapiro",100000040,Supervisor,Active,100.99,136,168,3-7,3-7,3-7
"Omri Biton",100000041,Supervisor,Active,70.63,120,152,1|3-5|7,1|3-5|7,1|3-5|7
"Yael Saban",100000042,Supervisor,Active,82.76,136,168,1-5|7,1-5|7,1-5|7
"Ido Azoulay",100000043,Supervisor,Active,94.08,128,168,1-3|5-7,1-3|5-7,1-3|5-7
"Yael Mor",100000044,Supervisor,Active,96.14,144,184,1-4|6-7,1-4|6-7,1-4|6-7
